Years,Finalist,Winner,Outstanding Comedy Series,Outstanding Drama Series
2013,Louie,0,1,0
2013,The Big Bang Theory,0,1,0
2013,Veep,0,1,0
2012,Boardwalk Empire,0,0,1
2012,Breaking Bad,0,0,1
2012,Downton Abbey,0,0,1
2012,Game of Thrones,0,0,1
2012,Mad Men,0,0,1
2012,30 Rock,0,1,0
2012,Curb Your Enthusiasm,0,1,0
2012,Girls,0,1,0
2012,The Big Bang Theory,0,1,0
2012,Veep,0,1,0
2011,Boardwalk Empire,0,0,1
2011,Dexter,0,0,1
2011,Friday Night Lights,0,0,1
2011,Game of Thrones,0,0,1
2011,The Good Wife,0,0,1
2011,30 Rock,0,1,0
2011,Glee,0,1,0
2011,Parks and Recreation,0,1,0
2011,The Big Bang Theory,0,1,0
2011,The Office,0,1,0
2010,Breaking Bad,0,0,1
2010,Dexter,0,0,1
2010,Lost,0,0,1
2010,The Good Wife,0,0,1
2010,True Blood,0,0,1
2010,30 Rock,0,1,0
2010,Curb Your Enthusiasm,0,1,0
2010,Glee,0,1,0
2010,Nurse Jackie,0,1,0
2010,The Office,0,1,0
2009,Big Love,0,0,1
2009,Breaking Bad,0,0,1
2009,Damages,0,0,1
2009,Dexter,0,0,1
2009,House,0,0,1
2009,Lost,0,0,1
2009,Entourage,0,1,0
2009,Family Guy,0,1,0
2009,Flight of the Conchords,0,1,0
2009,How I Met Your Mother,0,1,0
2009,The Office,0,1,0
2009,Weeds,0,1,0
2008,Boston Legal,0,0,1
2008,Damages,0,0,1
2008,Dexter,0,0,1
2008,House,0,0,1
2008,Lost,0,0,1
2008,Curb Your Enthusiasm,0,1,0
2008,Entourage,0,1,0
2008,The Office,0,1,0
2008,Two and a Half Men,0,1,0
2007,Boston Legal,0,0,1
2007,Grey's Anatomy,0,0,1
2007,Heroes,0,0,1
2007,House,0,0,1
2007,Entourage,0,1,0
2007,The Office,0,1,0
2007,Two and a Half Men,0,1,0
2007,Ugly Betty,0,1,0
2006,Grey's Anatomy,0,0,1
2006,House,0,0,1
2006,The Sopranos,0,0,1
2006,The West Wing,0,0,1
2006,Arrested Development,0,1,0
2006,Curb Your Enthusiasm,0,1,0
2006,Scrubs,0,1,0
2006,Two and a Half Men,0,1,0
2005,24,0,0,1
2005,Deadwood,0,0,1
2005,Six Feet Under,0,0,1
2005,The West Wing,0,0,1
2005,Arrested Development,0,1,0
2005,Desperate Housewives,0,1,0
2005,Scrubs,0,1,0
2005,Will & Grace,0,1,0
2004,24,0,0,1
2004,CSI: Crime Scene Investigation,0,0,1
2004,Joan of Arcadia,0,0,1
2004,The West Wing,0,0,1
2004,Curb Your Enthusiasm,0,1,0
2004,Everybody Loves Raymond,0,1,0
2004,Sex and the City,0,1,0
2004,Will & Grace,0,1,0
2003,24,0,0,1
2003,CSI: Crime Scene Investigation,0,0,1
2003,Six Feet Under,0,0,1
2003,The Sopranos,0,0,1
2003,Curb Your Enthusiasm,0,1,0
2003,Friends,0,1,0
2003,Sex and the City,0,1,0
2003,Will & Grace,0,1,0
2002,Curb Your Enthusiasm,0,1,0
2002,Everybody Loves Raymond,0,1,0
2002,Sex and the City,0,1,0
2002,Will & Grace,0,1,0
2002,24,0,0,1
2002,CSI: Crime Scene Investigation,0,0,1
2002,Law & Order,0,0,1
2002,Six Feet Under,0,0,1
2001,Everybody Loves Raymond,0,1,0
2001,Frasier,0,1,0
2001,Malcolm in the Middle,0,1,0
2001,Will & Grace,0,1,0
2001,ER,0,0,1
2001,Law & Order,0,0,1
2001,The Practice,0,0,1
2001,The Sopranos,0,0,1
2000,Everybody Loves Raymond,0,1,0
2000,Frasier,0,1,0
2000,Friends,0,1,0
2000,Sex and the City,0,1,0
2000,ER,0,0,1
2000,Law & Order,0,0,1
2000,The Practice,0,0,1
2000,The Sopranos,0,0,1
1999,Everybody Loves Raymond,0,1,0
1999,Frasier,0,1,0
1999,Friends,0,1,0
1999,Sex and the City,0,1,0
1999,ER,0,0,1
1999,Law & Order,0,0,1
1999,NYPD Blue,0,0,1
1999,The Sopranos,0,0,1
1998,3rd Rock from the Sun,0,1,0
1998,Ally McBeal,0,1,0
1998,Seinfeld,0,1,0
1998,The Larry Sanders Show,0,1,0
1998,ER,0,0,1
1998,Law & Order,0,0,1
1998,NYPD Blue,0,0,1
